id,title,score,members,demographic,tags
10009,Ano Niji wo Koete: Sakamoto-san Chi Monogatari,,122,Shoujo,"Comedy, Romance"
10078,Shigofumi: Stories of Last Letter,,707,,Supernatural
10105,Inumarudashi,6.27,526,Shounen,"Comedy, Slice of Life, Childcare, Gag Humor, School"
10116,P.S. Lovin' Song,,33,Shoujo,"Romance, Music"
10117,Punky!,,36,Shoujo,"Romance, School"
10137,Kokoro Made Daite,6.64,302,,Romance
10209,Sexy Effect 96,,329,,"Action, Boys Love, Drama, Erotica"
10221,Saikkyou Lover,6.77,298,,"Boys Love, Erotica"
10226,Samurai 7,6.41,1497,,"Fantasy, Historical, Mecha, Samurai"
10280,Tanpo,,208,Shounen,"Comedy, Ecchi"
10288,Arbeiter Kintarou,,238,Shounen,"Action, Super Power"
10345,Leader's High!,,128,Shounen,School
10365,Sonic the Hedgehog,,380,Kids,Comedy
10371,Tokyo Marble Chocolate,6.77,1366,Josei,Romance
10378,Delivery,6.65,2093,Shoujo,"Drama, Romance"
10402,Slayers Light Magic,6.97,872,,"Adventure, Comedy, Fantasy, Time Travel"
10425,Luminous Arc 2: Will,,114,,Fantasy
10457,Love's Remedy,,160,,"Boys Love, Erotica"
10624,Angel Myth,,308,Shoujo,"Fantasy, Romance"
10636,Hybrid Berry,7.04,1236,Shoujo,"Comedy, Romance, Sports, Team Sports"
10657,The Beautiful Skies of Houou High,7.38,9628,Shoujo,"Comedy, Romance, Crossdressing, School"
10664,Cocoa Riron,5.71,431,,"Comedy, Girls Love, Slice of Life, School"
10679,Blood: the Last Vampire: Night of the Beasts,7.04,698,,"Action, Horror, Mystery, Supernatural, Vampire"
10699,Tengoku no Inu Monogatari,6.87,241,Shoujo,"Slice of Life, Pets"
10762,After School Men's Harem,6.75,1209,,"Boys Love, Erotica"
10811,Nakizakura Kitan,7.47,1172,Shoujo,"Drama, Fantasy, Romance, Supernatural"
10820,Ghost in the Shell 2: Innocence - After the Long Goodbye,7.32,1221,,"Drama, Mystery, Sci-Fi, Adult Cast, Detective, Psychological"
10835,Total Surrender,6.63,339,,"Boys Love, Erotica"
10980,Nessa no Kusari,6.54,1123,,"Boys Love, Erotica"
10983,Youkai Gakuenki,6.6,669,,"Comedy, Fantasy, Girls Love, School"
10984,No.5,7.61,7053,Seinen,"Sci-Fi, Suspense"
11015,Holiday,7.15,1895,Shoujo,"Drama, Romance"
11099,Boyfriend,,110,Shoujo,Romance
11115,Cannon Sensei Tobashisugi,6.99,664,,"Comedy, Romance, Hentai"
11118,Kamisama Dolls,7.07,3543,Seinen,"Action, Drama, Supernatural, Mecha"
11163,I'm a prisoner of a liar man.,7.42,2650,,"Boys Love, Drama, Erotica"
11183,"Love Sex, Kiss",,259,,"Boys Love, Erotica"
11223,The Man of Tango,7.32,1283,,"Boys Love, Drama, Erotica"
11248,Binkan Kiss,6.23,1212,,Romance
11328,The Prince of Usagi,6.77,313,,"Boys Love, Fantasy, Urban Fantasy"
11378,Wonder Boy,7.46,1825,Seinen,"Drama, Mystery, Supernatural, Time Travel"
11391,Atsu♡Atsu Trattoria,7.05,3153,Shoujo,Romance
11442,Love Romance Sweet Kiss,6.48,1153,,"Boys Love, Drama, Erotica"
11499,Xam'd: Lost Memories - Pilgrim of the Compass,,667,,Adventure
11559,Aries,7.08,864,Shoujo,"Drama, Fantasy, Romance, Supernatural, Historical"
11683,Tsuki no Waltz,7.44,2446,Shoujo,"Romance, Historical"
11685,Ameiro Kochakan Kandan,7.38,5831,,"Comedy, Girls Love, Slice of Life"
11699,Cappuccino,6.83,4077,Josei,"Drama, Romance, Slice of Life"
11748,Ginban Kaleidoscope,,364,,
11762,Stringendo,7.08,1276,,Hentai
11793,"I don't like you at all, Big Brother!!",6.56,7590,,"Comedy, Romance, Ecchi, Harem, School"
11805,The Best!! Extremely Cool Student Council President,,376,Shoujo,"Romance, School"
11866,Gunjou,7.4,6923,Seinen,"Drama, Girls Love, Erotica, Psychological"
11895,After School Host,,101,Shoujo,"Comedy, Romance"
11939,Tengu Onmyoudou,,341,Shoujo,"Fantasy, Historical"
11952,Satanister,6.57,1127,Josei,"Horror, Psychological"
11975,Inu Usa Neko 2,6.31,381,,Slice of Life
12034,Erotic Heart Mother,7.13,1726,,"Drama, Hentai"
12095,Shinobi Masen!,,66,,"Boys Love, Comedy, Erotica"
12123,Crimson-Shell,6.92,8796,Shounen,"Action, Drama, Fantasy, Mystery, Romance, Supernatural"
12145,Lamento: Beyond the Void,7.28,1889,Shoujo,"Action, Fantasy, Mythology"
12263,Let\'s Kiss and Hold Hands,,74,,"Boys Love, Drama, Erotica"
12315,Graduation Eve,,109,,"Boys Love, Erotica"
12371,Taisougi,6.33,2096,,Avant Garde
12403,Utsukushiki Kussetsu,5.97,657,,"Boys Love, Erotica, Hentai"
12424,F.O.X II,,238,,Fantasy
12433,Yukkuri Koi wo Shiyou,,63,,"Boys Love, School"
12454,Golden Angel,6.89,568,Shoujo,School
12495,Bokutachi Otokonoko,6.76,834,Shoujo,"Boys Love, Slice of Life"
12537,Yoru wo Utau Kodomotachi,6.57,768,Josei,"Drama, Fantasy, Horror, Supernatural"
12555,Over The Rainbow,,112,Josei,Romance
12658,Petit Yuri Hime,6.74,1172,,"Comedy, Girls Love, Erotica"
12670,Zettai x Roman,,368,,"Comedy, Girls Love, Supernatural, School"
12740,Animal Play,6.18,563,,"Boys Love, Erotica"
12760,A Song to the Sun,7.57,8367,Josei,"Drama, Romance, Slice of Life"
12828,Unmei no Tori: Takahashi Rumiko Kessakushuu,6.74,1027,Seinen,Slice of Life
12841,Die or Like Me,6.84,803,,Romance
12881,Arty Square,,246,,"Slice of Life, Music"
12888,Happy Marriage?!,7.76,36974,Josei,"Romance, Adult Cast"
12891,Nightmare*Alice,,172,Josei,Action
12951,Shoutoku Taishi,,98,,Historical
12973,Blue Kerchief,,113,Josei,Drama
12978,Hatshepsut: The One and Only Female Pharaoh in an Ancient Egyptian Dynasty,5.92,1179,Shoujo,"Drama, Girls Love, Historical"
12983,Boku no Kichiku Megane,6.62,1594,,"Boys Love, Erotica, School"
12990,Trump!,7.11,1859,,"Action, Comedy, Strategy Game"
12991,Kawa yori mo Nagaku Yuruyaka ni,6.67,620,Shoujo,"Award Winning, Comedy, Slice of Life, School"
13013,Tennen Sozai de Ikou.,,107,Shoujo,"Romance, School"
13026,Inu wo Kau,7.27,2649,Seinen,"Drama, Slice of Life"
13029,Love Isn't Enough?,6.25,1506,Shoujo,
13040,Death Jam!,,48,,"Action, Adventure, Fantasy"
13058,Magic Lamp,,80,,Comedy
13101,Sex,6.71,1587,Seinen,"Action, Drama, School"
13157,The Case of Tanaka-kun,,65,,"Boys Love, School"
13167,Benkyou no Jikan,7.24,4358,Shoujo,Romance
13236,Before Dawn,,198,Shoujo,Drama
13286,Aneki... My Sweet Elder Sister,6.99,1405,,Hentai
13358,Gaku,7.54,2119,Seinen,"Award Winning, Drama"
13376,Onigashima,,154,,"Romance, Hentai"
13382,No Color,7.68,4861,,"Boys Love, Comedy, Romance"
13422,Eve no Onna-tachi,6.24,414,,"Girls Love, Erotica"
13428,Plastics,6.68,807,,"Boys Love, Erotica"
13544,The Disappearance of Nagato Yuki-chan,7.55,8987,Seinen,"Comedy, Romance, School"
13655,Crossroad: Our Promise,,142,Josei,"Drama, Romance"
13663,Peter and a Wolf,,52,,Boys Love
13676,The iDOLM@STER Break!,6.87,864,Shounen,"Comedy, Romance, Harem, Idols (Female)"
13690,Notpia,6.41,817,,"Boys Love, Drama, Horror, Erotica"
13695,Wild Arms XF,,173,Seinen,Action
13887,Halcyon Lunch,6.64,1702,Seinen,"Comedy, Sci-Fi, Supernatural"
13987,Sei Penalty Gakuen Goku,7.01,1062,,"Hentai, School"
13995,Tae Guk,,51,,Martial Arts
14018,Triage X,7.1,13378,Shounen,"Action, Ecchi, School"
14049,S・L・H,7.56,12024,Shoujo,"Comedy, Fantasy, Mystery, Romance, Supernatural, Reverse Harem, School"
14071,AM8:00 I Love You,6.33,967,Shoujo,Romance
14098,Unlucky Girl,,96,Shoujo,
14305,Love x Eros,7.08,1229,,"Boys Love, Erotica"
14356,Soshite Boku wa Tohou ni Kureru dj - Daisuki,,114,,"Boys Love, Erotica"
14371,ACME,6.47,752,,Hentai
